frame,particles,delta,physMem,virtMem
446,1018,0.0168599,51326976,40865792
447,1018,0.0142665,51326976,40865792
448,1021,0.0153889,51326976,40865792
449,1023,0.0173274,51326976,40865792
450,1024,0.0173977,51326976,40865792
451,1030,0.015515,51326976,40865792
452,1030,0.0193601,51326976,40865792
453,1030,0.014871,51326976,40865792
454,1031,0.0165787,51326976,40865792
455,1037,0.0162015,51326976,40865792
456,1037,0.018112,51326976,40865792
457,1037,0.0165237,51326976,40865792
458,1042,0.0155962,51326976,40865792
459,1043,0.0182231,51326976,40865792
460,1046,0.0158054,51326976,40865792
461,1046,0.0163831,51326976,40865792
462,1050,0.0161454,51326976,40865792
463,1052,0.0178503,51326976,40865792
464,1052,0.0164412,51326976,40865792
465,1056,0.0160367,51326976,40865792
466,1058,0.0185896,51326976,40865792
467,1059,0.0170874,51326976,40865792
468,1059,0.0169609,51326976,40865792
469,1059,0.0160601,51326976,40865792
470,1059,0.0163648,51326976,40865792
471,1059,0.0161792,51326976,40865792
472,1069,0.0160966,51388416,40931328
473,1075,0.0211512,51388416,40931328
474,1075,0.0190494,51388416,40931328
475,1075,0.0173981,51388416,40931328
476,1075,0.0171565,51388416,40931328
477,1076,0.0174406,51388416,40931328
478,1080,0.017578,51388416,40931328
479,1080,0.0189222,51388416,40931328
480,1080,0.0174951,51388416,40931328
481,1080,0.0172792,51388416,40931328
482,1081,0.0178075,51388416,40931328
483,1087,0.0171735,51388416,40931328
484,1089,0.0192068,51388416,40931328
485,1090,0.0180465,51388416,40931328
486,1091,0.0182604,51388416,40931328
487,1094,0.0174589,51388416,40931328
488,1097,0.0186089,51388416,40931328
489,1102,0.0178176,51388416,40931328
490,1102,0.0191469,51388416,40931328
491,1107,0.0180286,51388416,40931328
492,1111,0.0194578,51388416,40931328
493,1111,0.018577,51388416,40931328
494,1120,0.0184301,51388416,40931328
495,1122,0.0201906,51388416,40931328
496,1127,0.018951,51388416,40931328
497,1136,0.018974,51388416,40931328
498,1137,0.0229164,51388416,40931328
499,1137,0.0187353,51388416,40931328
500,1138,0.0186353,51388416,40931328
501,1138,0.0179696,51388416,40931328
502,1140,0.018188,51388416,40931328
503,1141,0.0192831,51388416,40931328
504,1144,0.0190627,51388416,40931328
505,1152,0.0188677,51388416,40931328
506,1152,0.0207066,51388416,40931328
507,1152,0.0185015,51388416,40931328
508,1153,0.0182495,51388416,40931328
509,1161,0.0185254,51388416,40931328
510,1169,0.0215776,51388416,40931328
511,1172,0.0224474,51388416,40931328
512,1175,0.0189524,51388416,40931328
513,1176,0.0194124,51388416,40931328
514,1176,0.0197013,51388416,40931328
515,1179,0.0190783,51388416,40931328
516,1183,0.0196575,51388416,40931328
517,1185,0.020948,51388416,40931328
518,1185,0.0200313,51388416,40931328
519,1186,0.019115,51388416,40931328
520,1196,0.0196544,51388416,40931328
521,1196,0.0234314,51388416,40931328
522,1199,0.0201653,51388416,40931328
523,1200,0.0198406,51388416,40931328
524,1203,0.0199258,51388416,40931328
525,1208,0.0197473,51388416,40931328
526,1208,0.0227685,51388416,40931328
527,1209,0.0202473,51388416,40931328
528,1212,0.0193277,51388416,40931328
529,1213,0.0202403,51388416,40931328
530,1214,0.0201254,51388416,40931328
531,1218,0.0198603,51388416,40931328
532,1218,0.0219339,51388416,40931328
533,1218,0.019557,51388416,40931328
534,1224,0.0197703,51388416,40931328
535,1225,0.0225514,51388416,40931328
536,1228,0.0202878,51388416,40931328
537,1229,0.0209624,51388416,40931328
538,1229,0.0202755,51388416,40931328
539,1240,0.0210116,51388416,40931328
540,1240,0.0248595,51388416,40931328
541,1240,0.0203777,51388416,40931328
542,1240,0.0198574,51388416,40931328
543,1240,0.01966,51388416,40931328
544,1240,0.0196448,51388416,40931328
545,1240,0.0199861,51388416,40931328
546,1242,0.0207667,51388416,40931328
547,1242,0.0211107,51388416,40931328
548,1252,0.019956,51388416,40931328
549,1254,0.023628,51388416,40931328
550,1254,0.020638,51388416,40931328
551,1254,0.0202277,51388416,40931328
552,1254,0.0214767,51388416,40931328
553,1254,0.0199286,51388416,40931328
554,1254,0.0203332,51388416,40931328
555,1258,0.0205439,51388416,40931328
556,1258,0.0226723,51388416,40931328
557,1260,0.0200239,51388416,40931328
558,1263,0.0200784,51388416,40931328
559,1264,0.0216874,51388416,40931328
560,1264,0.0203842,51388416,40931328
561,1264,0.0220476,51388416,40931328
562,1267,0.0197967,51388416,40931328
563,1269,0.0216872,51388416,40931328
564,1269,0.0219608,51388416,40931328
565,1270,0.0199031,51388416,40931328
566,1271,0.0204802,51388416,40931328
567,1272,0.0209096,51388416,40931328
568,1276,0.0207306,51388416,40931328
569,1288,0.0229389,51388416,40931328
570,1296,0.0265693,51388416,40931328
571,1298,0.0239209,51388416,40931328
572,1303,0.0215753,51388416,40931328
573,1303,0.0257038,51388416,40931328
574,1304,0.0212666,51388416,40931328
575,1304,0.0206637,51388416,40931328
576,1304,0.0214706,51388416,40931328
577,1314,0.0201648,51388416,40931328
578,1315,0.0248681,51388416,40931328
579,1319,0.0215819,51388416,40931328
580,1320,0.0233322,51388416,40931328
581,1322,0.0211,51388416,40931328
582,1323,0.0219788,51388416,40931328
583,1326,0.0245215,51388416,40931328
584,1329,0.0218594,51388416,40931328
585,1331,0.0227957,51388416,40931328
