frame,particles,delta,physMem,virtMem
690,1500,0.027972,53972992,41533440
691,1500,0.0282294,53972992,41533440
692,1500,0.0277105,53972992,41533440
693,1500,0.0275847,53972992,41533440
694,1500,0.029345,53972992,41533440
695,1500,0.0304697,53972992,41533440
696,1500,0.0273854,53972992,41533440
697,1500,0.0266447,53972992,41533440
698,1500,0.0282757,53972992,41533440
699,1500,0.0270263,53972992,41533440
700,1500,0.0279889,53972992,41533440
701,1500,0.0265643,53972992,41533440
702,1500,0.0283566,53972992,41533440
703,1500,0.0313924,53972992,41533440
704,1500,0.0272807,53972992,41533440
705,1500,0.0275673,53972992,41533440
706,1500,0.0268475,53972992,41533440
707,1500,0.0272023,53972992,41533440
708,1500,0.0279745,53972992,41533440
709,1500,0.0274562,53972992,41533440
710,1500,0.0274363,53972992,41533440
711,1500,0.0277424,53972992,41533440
712,1500,0.0275322,53972992,41533440
713,1500,0.0278234,53972992,41533440
714,1500,0.0279238,53972992,41533440
715,1500,0.0275667,53972992,41533440
716,1500,0.0264259,53972992,41533440
717,1500,0.0279343,53972992,41533440
718,1500,0.0286618,53972992,41533440
719,1500,0.0277378,53972992,41533440
720,1500,0.027364,53972992,41533440
721,1500,0.0287486,53972992,41533440
722,1500,0.0282647,53972992,41533440
723,1500,0.0276544,53972992,41533440
724,1500,0.0277628,53972992,41533440
725,1500,0.0289333,53972992,41533440
726,1500,0.0292372,53972992,41533440
727,1500,0.027483,53972992,41533440
728,1500,0.0287249,53972992,41533440
729,1500,0.0284495,53972992,41533440
730,1500,0.0267262,53972992,41533440
731,1500,0.0273887,53972992,41533440
732,1500,0.0285945,53972992,41533440
733,1500,0.028207,53972992,41533440
734,1500,0.0286807,53972992,41533440
735,1500,0.0267991,53972992,41533440
736,1500,0.0270528,53972992,41533440
737,1500,0.0268878,53972992,41533440
738,1500,0.0278948,53972992,41533440
739,1500,0.0285295,53972992,41533440
740,1500,0.0273215,53972992,41533440
741,1500,0.0292275,53972992,41533440
742,1500,0.0287227,53972992,41533440
743,1500,0.0310255,53972992,41533440
744,1500,0.0285519,53972992,41533440
745,1500,0.0282871,53972992,41533440
746,1500,0.0290384,53972992,41533440
747,1500,0.0286757,53972992,41533440
748,1500,0.028772,53972992,41533440
749,1500,0.0295228,53972992,41533440
750,1500,0.0287203,53972992,41533440
751,1500,0.029573,53972992,41533440
752,1500,0.0277993,53972992,41533440
753,1500,0.0292703,53972992,41533440
754,1500,0.0276754,53972992,41533440
755,1500,0.0307109,53972992,41533440
756,1500,0.0280166,53972992,41533440
757,1500,0.0279978,53972992,41533440
758,1500,0.0288353,53972992,41533440
759,1500,0.0285641,53972992,41533440
760,1500,0.0280933,53972992,41533440
