frame,particles,delta,physMem,virtMem
408,915,0.0167481,51298304,40828928
409,916,0.0166298,51298304,40828928
410,916,0.0166769,51298304,40828928
411,918,0.016674,51298304,40828928
412,926,0.0166399,51298304,40828928
413,926,0.0169148,51298304,40828928
414,930,0.0164613,51298304,40828928
415,932,0.0166423,51298304,40828928
416,932,0.0166432,51298304,40828928
417,934,0.0166305,51298304,40828928
418,941,0.0166706,51298304,40828928
419,944,0.0166563,51298304,40828928
420,949,0.033459,51298304,40828928
421,952,0.0187126,51298304,40828928
422,956,0.0151038,51298304,40828928
423,959,0.0169533,51298304,40828928
424,963,0.0158044,51298304,40828928
425,964,0.0166681,51298304,40828928
426,967,0.0166427,51298304,40828928
427,967,0.0166628,51298304,40828928
428,974,0.0167285,51298304,40828928
429,980,0.0166137,51298304,40828928
430,982,0.0178343,51298304,40828928
431,985,0.0322662,51298304,40828928
432,985,0.0166531,51298304,40828928
433,985,0.0165882,51298304,40828928
434,985,0.016661,51298304,40828928
435,990,0.0166697,51298304,40828928
436,990,0.0170468,51298304,40828928
437,990,0.0163124,51298304,40828928
438,991,0.0167695,51298304,40828928
439,1001,0.0165883,51298304,40828928
440,1002,0.0187401,51298304,40828928
441,1003,0.0151427,51298304,40828928
442,1007,0.0176783,51298304,40828928
443,1014,0.0175399,51298304,40828928
444,1016,0.0186092,51298304,40828928
445,1018,0.0170469,51298304,40828928
446,1018,0.0158413,51298304,40828928
447,1018,0.0141222,51298304,40828928
448,1021,0.0152749,51335168,40865792
449,1023,0.0174153,51335168,40865792
450,1024,0.0173029,51335168,40865792
451,1030,0.0158073,51335168,40865792
452,1030,0.0190947,51335168,40865792
453,1030,0.0148715,51335168,40865792
454,1031,0.0158762,51335168,40865792
455,1037,0.0162595,51335168,40865792
456,1037,0.0177591,51335168,40865792
457,1037,0.0167864,51335168,40865792
458,1042,0.0155471,51335168,40865792
459,1043,0.018323,51335168,40865792
460,1046,0.0164142,51335168,40865792
461,1046,0.0163062,51335168,40865792
462,1050,0.0162343,51335168,40865792
463,1052,0.0179812,51335168,40865792
464,1052,0.0167171,51335168,40865792
465,1056,0.0157591,51335168,40865792
466,1058,0.0177169,51335168,40865792
467,1059,0.0167596,51335168,40865792
468,1059,0.0168231,51335168,40865792
469,1059,0.0161374,51335168,40865792
